complex,150,220,2,2,16,0,0,0,31751.134385,198.831655,31313.354621,0.452141,38.923117,199.572851
complex,150,220,1,1,4,0,0,0,21475.243773000002,195.185377,21078.570214,0.479464,34.604928,166.40379
complex,150,220,2,4,32,0,0,0,33200.628907000006,194.932803,32793.481236,0.468844,33.637484,178.10854
simple,150,220,2,2,16,0,0,0,12974.233302,193.9135,12535.120249,0.431338,36.151564,208.616651
n2,150,220,1,1,4,0,0,0,16213.091874000002,195.910527,15589.620212,0.540096,41.997735,385.023304
n2,150,220,2,4,32,0,0,0,24507.097578,209.743604,24060.849037,0.515484,37.94958,198.039873
n2,150,220,2,2,16,0,0,0,50513.064648,209.979136,50077.410794,0.666083,44.200118,180.808517
simple,150,220,1,1,4,0,0,0,16342.858629,195.262023,15623.675331,0.527984,38.453985,484.939306
simple,150,220,2,4,32,0,0,0,25978.475199,196.593556,25501.904186,0.41282,47.651764,231.912873
complex,150,220,2,2,16,0,0,0,34846.122820000004,192.671641,34415.703678,0.371461,51.824903,185.551137
complex,150,220,1,1,4,0,0,0,44171.145771999996,197.28341,43760.036021,0.447528,30.959399,182.419414
complex,150,220,2,4,32,0,0,0,16517.66808,192.639926,16099.97737,0.436746,38.017082,186.596956
simple,150,220,2,2,16,0,0,0,19747.597037000003,197.414998,19332.795933,0.546796,34.51896,182.32035
n2,150,220,1,1,4,0,0,0,15970.323233,194.269533,15263.588838,0.528203,38.168629,473.76803
n2,150,220,2,4,32,0,0,0,23614.045765,210.409084,23166.134168,0.423302,34.529323,202.549888
n2,150,220,2,2,16,0,0,0,42917.82361299999,209.498942,40307.993507,0.611815,56.934035,2342.785314
simple,150,220,1,1,4,0,0,0,16004.719937,197.938683,14754.825512,0.92923,41.206518,1009.819994
simple,150,220,2,4,32,0,0,0,25094.05725,201.123542,24124.293766,0.465653,35.677392,732.496897
complex,150,220,2,2,16,0,0,0,39212.664649,198.963697,38741.695695,0.444669,41.781099,229.779489
complex,150,220,1,1,4,0,0,0,51762.505579,205.757023,51351.7529,0.565239,35.246684,169.183733
complex,150,220,2,4,32,0,0,0,13202.299175,194.197816,12782.427138,0.415443,39.865179,185.393599
simple,150,220,2,2,16,0,0,0,12915.657863,223.089921,12467.237953,0.564004,39.631035,185.13495
n2,150,220,1,1,4,0,0,0,16875.001532,202.298512,16345.300006,0.476747,36.935754,289.990513
n2,150,220,2,4,32,0,0,0,24854.33235,204.353289,24416.632182,0.450051,37.563854,195.332974
n2,150,220,2,2,16,0,0,0,41421.06788999999,193.564343,40965.228571,0.433753,34.044508,227.796715
simple,150,220,1,1,4,0,0,0,18222.155489,203.360819,16924.130491,0.527839,38.615448,1055.520892
simple,150,220,2,4,32,0,0,0,34452.719024000005,199.705134,34042.348549,0.620803,35.237881,174.806657
complex,150,220,2,2,16,0,0,0,50940.381105,196.017928,50503.453014,0.413315,36.774963,203.721885
complex,150,220,1,1,4,0,0,0,75335.947445,195.037635,73186.243911,0.617324,47.373788,1906.674787
complex,150,220,2,4,32,0,0,0,9537.412140999999,193.327661,8826.216854,0.442817,33.45471,483.970099
simple,150,220,2,2,16,0,0,0,10955.595631,209.067998,9867.04916,0.471236,43.358291,835.648946
n2,150,220,1,1,4,0,0,0,17246.102987,200.567103,16124.590047,0.445437,32.570835,887.929565
n2,150,220,2,4,32,0,0,0,28056.474463,197.548972,27632.402067,0.436427,34.006813,192.080184
n2,150,220,2,2,16,0,0,0,48671.64702,205.580259,48210.839895,0.466941,39.044216,215.715709
simple,150,220,1,1,4,0,0,0,17488.160823000002,197.577553,17025.214917,0.437204,33.742144,231.189005
simple,150,220,2,4,32,0,0,0,35311.591551,199.47577,34873.43909,0.431239,37.100652,201.1448
complex,150,220,2,2,16,0,0,0,43981.860623,200.062547,43541.817416,0.492513,34.969531,204.518616
