element,link,executor,core,partition,sleeping_guard,sleeping_instantiate,sleeping_apply,total_time,time_tuples,time_instantiate,time_extract,time_broadcast,time_apply
300,440,8,4,128,2000,2000,2000,272719.987083,171.348925,201534.803357,0.433775,43.529848,70969.871178
300,440,8,4,128,500,500,500,72548.378976,165.184559,53903.255447,0.494463,48.586906,18430.857601
300,440,8,4,128,1000,1000,1000,139596.80932,168.175538,103452.351832,0.54213,47.68253,35928.05729
300,440,2,4,32,500,500,500,229875.016184,173.957494,164091.200239,0.607796,66.076553,65543.174102
300,440,4,4,64,1000,1000,1000,246674.017267,169.493899,180675.672134,0.484242,51.57633,65776.790662
300,440,2,4,32,1000,1000,1000,449627.895337,176.855825,323732.973592,0.431719,53.067656,125664.566545
300,440,4,4,64,500,500,500,125883.406213,170.951126,92335.421879,0.457533,50.233572,33326.342103
300,440,2,4,32,250,250,250,117430.84999599999,172.98538,84139.892037,0.486924,52.691994,33064.793661
300,440,4,4,64,2000,2000,2000,487834.757443,170.827203,356785.870151,0.461716,69.292073,130808.3063
300,440,2,4,32,2000,2000,2000,893550.9629970001,169.499341,642736.086657,0.464519,51.430148,250593.482332
300,440,4,4,64,250,250,250,66337.7495,171.398163,49054.662134,0.504878,51.691694,17059.492631
300,440,8,4,128,250,250,250,38952.53272,169.255344,29079.026602,0.692128,70.707912,9632.850734
300,440,8,4,128,2000,2000,2000,273271.930091,173.055222,202123.329617,0.527722,73.634762,70901.382768
300,440,8,4,128,500,500,500,72348.723836,171.974158,53647.331122,0.710096,70.342882,18458.365578
300,440,8,4,128,1000,1000,1000,138908.45963,182.604199,102695.208156,0.659428,73.734486,35956.253361
300,440,2,4,32,500,500,500,230015.94709699997,169.135571,164268.003638,0.454695,52.113873,65526.23932
300,440,4,4,64,1000,1000,1000,246768.37923,170.373863,180669.832727,0.479634,50.734128,65876.958878
600,880,8,4,128,500,500,500,237070.78733099997,170.883905,177743.43771,0.944043,109.910683,59045.61099
600,880,8,4,128,2000,2000,2000,928933.4275420001,176.776257,697013.295916,0.63075,104.3433,231638.381319
600,880,8,4,128,250,250,250,121973.47896499999,172.200354,91304.31436,0.579074,95.837653,30400.547524
600,880,4,4,64,250,250,250,219674.51176799997,173.449129,160885.464391,0.646432,103.683447,58511.268369
600,880,2,4,32,1000,1000,1000,1612980.8022329998,195.208116,1156909.103215,0.577484,90.377345,455785.536073
600,880,2,4,32,500,500,500,809418.030143,174.16139,580852.701001,0.600983,94.279366,228296.287403
