element,link,executor,core,partition,sleeping_guard,sleeping_instantiate,sleeping_apply,total_time,time_tuples,time_instantiate,time_extract,time_broadcast,time_apply
#a7b12430aec91945a8ea9e90e43e5e4d63ea85ba 
150,220,2,2,16,0,0,0,7319.933668000001,199.711734,6909.356296,0.393449,37.081311,173.390878
150,220,2,1,8,0,0,0,18930.750398,208.213901,18436.133606,0.543351,38.105237,247.754303
150,220,1,1,4,1000,1000,1000,861379.044649,212.643407,570545.112309,0.655476,34.661644,290585.971813
150,220,2,1,8,500,500,500,253951.47121200003,200.625537,175628.945539,0.488283,34.024752,78087.387101
150,220,2,2,16,500,500,500,128288.01157099998,194.315699,89895.517322,0.508137,38.302193,38159.36822
150,220,2,2,16,250,250,250,92497.625247,199.405099,56465.857419,0.566832,36.552231,35795.243666
150,220,1,1,4,0,0,0,15497.730981999997,201.986948,14985.095807,0.614203,38.376068,271.657956
150,220,2,2,16,500,500,500,133666.18316000002,199.084935,95147.131689,0.526642,36.780233,38282.659661
150,220,1,1,4,500,500,500,447022.049408,200.636788,301199.367032,0.529272,33.88822,145587.628096
150,220,2,2,16,120,120,120,55827.946635,197.428922,36974.741462,0.439819,33.374609,18621.961823
150,220,1,1,4,120,120,120,179432.23123599996,210.796362,93846.000248,0.530212,30.610605,85344.293809
150,220,2,2,16,2000,2000,2000,513544.39514100004,198.398525,362527.760012,0.500809,50.105334,150767.630461
150,220,2,2,16,1000,1000,1000,250788.04972399998,193.667665,174751.750851,0.444931,41.431445,75800.754832
150,220,2,1,8,1000,1000,1000,479327.00859800004,200.189304,323530.182401,0.468796,34.911031,155561.257066
150,220,2,2,16,1000,1000,1000,251927.87925399997,208.172313,175970.494726,0.460124,34.905672,75713.846419
150,220,2,1,8,0,0,0,27367.652873,227.836291,19974.39201,0.551931,40.75077,7124.121871
150,220,2,2,16,0,0,0,23500.613494,194.214487,23135.026684,0.404303,35.863628,135.104392
150,220,2,1,8,500,500,500,254817.75948100002,194.672827,176476.454796,0.734294,46.539005,78099.358559
150,220,2,2,16,250,250,250,93900.206075,193.291797,54110.220919,0.830808,38.08141,39557.781141
150,220,2,2,16,500,500,500,128591.89593299999,196.560569,90170.901571,0.542865,36.12191,38187.769018
150,220,2,2,16,0,0,0,9642.329443999999,193.550587,9172.597294,0.545798,48.071684,227.564081
150,220,1,1,4,0,0,0,17551.125734,201.476208,17040.355179,0.464978,39.100061,269.729308
150,220,2,2,16,500,500,500,132956.257778,195.670883,94524.025196,0.500307,39.270158,38196.791234
150,220,2,2,16,50,50,50,50711.817228,227.243164,35446.64293,0.472117,40.335483,14997.123534
150,220,2,2,16,50,50,50,47538.083846,222.916265,29948.417832,0.524029,40.90521,17325.32051
150,220,2,2,16,50,50,50,39563.482331,192.886807,31234.779608,0.467752,35.413797,8099.934367
150,220,2,2,16,50,50,50,40405.700506,196.400056,30704.637602,0.781703,45.25686,9458.624285
150,220,2,2,16,50,50,50,38878.996664,196.412968,29609.150443,0.412546,34.230189,9038.790518
150,220,2,2,16,50,50,50,43100.32620000001,202.223635,34152.219765,0.683482,42.536028,8702.66329
150,220,2,2,16,50,50,50,40612.023159,191.910631,31531.945489,0.428172,33.295645,8854.443222
150,220,2,2,16,50,50,50,40435.908496,207.000859,29916.368784,0.522364,42.005198,10270.011291
150,220,2,2,16,50,50,50,41874.91399400001,196.742679,33764.283866,0.478387,36.87544,7876.533622
150,220,2,2,16,50,50,50,38931.128450000004,207.55432,30658.929632,0.76246,45.770066,8018.111972
150,220,2,2,16,120,120,120,54290.152418,195.86991,43128.920565,0.706431,41.81795,10922.837562
150,220,2,2,16,120,120,120,54276.432188000006,199.289883,43549.659248,0.466759,38.427313,10488.588985
150,220,2,2,16,120,120,120,50429.335777,200.360078,40746.041522,0.503388,41.536025,9440.894764
150,220,2,2,16,120,120,120,59092.209881999996,194.134541,49084.420816,0.589294,40.197457,9772.867774
150,220,2,2,16,120,120,120,54583.38129800001,194.01318,41669.737525,0.552622,60.887733,12658.190238
150,220,2,2,16,120,120,120,54201.934720000005,195.778071,43176.290757,0.623564,42.438864,10786.803464
150,220,2,2,16,500,500,500,154560.086294,206.816092,115840.540435,0.629272,41.333684,38470.766811
150,220,2,2,16,0,0,0,11360.945818999999,194.232543,10995.363327,0.422342,31.876026,139.051581
150,220,2,2,16,0,0,0,13166.033514,208.664294,12690.453005,0.486402,36.706058,229.723755
150,220,2,2,16,0,0,0,11710.325332,191.87376,11281.554377,0.400948,34.513141,201.983106
150,220,2,2,16,0,0,0,9868.523406,199.492769,9413.893243,0.437918,39.052539,215.646937
